typeName;typeName;quantity;damagePerJob
100mm Reinforced Steel Plates I;Isogen;39;1
100mm Reinforced Steel Plates I;Mexallon;280;1
100mm Reinforced Steel Plates I;Nocxium;2;1
100mm Reinforced Steel Plates I;Pyerite;203;1
100mm Reinforced Steel Plates I;Tritanium;676;1
100mm Reinforced Steel Plates I;Zydrine;1;1
100mm Reinforced Steel Plates II;100mm Reinforced Steel Plates I;1;1
100mm Reinforced Steel Plates II;Isogen;40;1
100mm Reinforced Steel Plates II;Mexallon;285;1
100mm Reinforced Steel Plates II;Morphite;2;1
100mm Reinforced Steel Plates II;Nocxium;3;1
100mm Reinforced Steel Plates II;Pyerite;213;1
100mm Reinforced Steel Plates II;R.A.M.- Armor/Hull Tech;1;0.2
100mm Reinforced Steel Plates II;Tritanium;686;1
100mm Reinforced Steel Plates II;Tungsten Carbide Armor Plate;5;1
100mm Reinforced Steel Plates II;Zydrine;2;1
100MN Afterburner I;Isogen;44;1
100MN Afterburner I;Megacyte;1;1
100MN Afterburner I;Mexallon;1002;1
100MN Afterburner I;Nocxium;22;1
100MN Afterburner I;Pyerite;8030;1
100MN Afterburner I;Tritanium;17896;1
100MN Afterburner I;Zydrine;2;1
100MN Afterburner II;100MN Afterburner I;1;1
100MN Afterburner II;Antimatter Reactor Unit;5;1
100MN Afterburner II;Ion Thruster;10;1
100MN Afterburner II;Isogen;55;1
100MN Afterburner II;Mexallon;1105;1
100MN Afterburner II;Morphite;8;1
100MN Afterburner II;Nocxium;28;1
100MN Afterburner II;Plasma Thruster;8;1
100MN Afterburner II;Pyerite;10500;1
100MN Afterburner II;R.A.M.- Armor/Hull Tech;1;0.02
100MN Afterburner II;Tritanium;19000;1
100MN Afterburner II;Zydrine;3;1
100MN Analog Booster Rockets;Isogen;44;1
100MN Analog Booster Rockets;Megacyte;1;1
100MN Analog Booster Rockets;Mexallon;1002;1
100MN Analog Booster Rockets;Nocxium;22;1
100MN Analog Booster Rockets;Pyerite;8030;1
100MN Analog Booster Rockets;Sleeper Cryo Batteries;1;1
100MN Analog Booster Rockets;Sleeper Foundation Block;1;1
100MN Analog Booster Rockets;Sleeper Heat Nullifying Coil;2;1
100MN Analog Booster Rockets;Sleeper Hyperbooster;1;1
100MN Analog Booster Rockets;Sleeper Micro Circuits;1;1
100MN Analog Booster Rockets;Sleeper Profound Research Notes;1;1
100MN Analog Booster Rockets;Sleeper Technical Schematics;2;1
100MN Analog Booster Rockets;Sleeper Thermal Regulator;2;1
100MN Analog Booster Rockets;Tritanium;17896;1
100MN Analog Booster Rockets;Zydrine;2;1
100MN Digital Booster Rockets;Isogen;905;1
100MN Digital Booster Rockets;Megacyte;9;1
100MN Digital Booster Rockets;Mexallon;3889;1
100MN Digital Booster Rockets;Nocxium;277;1
100MN Digital Booster Rockets;Pyerite;14743;1
100MN Digital Booster Rockets;Sleeper Cryo Batteries;1;1
100MN Digital Booster Rockets;Sleeper Foundation Block;4;1
100MN Digital Booster Rockets;Sleeper Heat Nullifying Coil;2;1
100MN Digital Booster Rockets;Sleeper Hyperbooster;1;1
100MN Digital Booster Rockets;Sleeper Manuscripts;4;1
100MN Digital Booster Rockets;Sleeper Micro Circuits;1;1
100MN Digital Booster Rockets;Sleeper Profound Research Notes;4;1
100MN Digital Booster Rockets;Sleeper Thermal Regulator;2;1
100MN Digital Booster Rockets;Tritanium;57378;1
100MN Digital Booster Rockets;Zydrine;50;1
100MN MicroWarpdrive I;Isogen;905;1
100MN MicroWarpdrive I;Megacyte;9;1
100MN MicroWarpdrive I;Mexallon;3889;1
100MN MicroWarpdrive I;Nocxium;277;1
100MN MicroWarpdrive I;Pyerite;14743;1
100MN MicroWarpdrive I;Tritanium;57378;1
100MN MicroWarpdrive I;Zydrine;50;1
100MN MicroWarpdrive II;100MN MicroWarpdrive I;1;1
100MN MicroWarpdrive II;Antimatter Reactor Unit;5;1
100MN MicroWarpdrive II;Ion Thruster;10;1
100MN MicroWarpdrive II;Isogen;1080;1
100MN MicroWarpdrive II;Megacyte;12;1
100MN MicroWarpdrive II;Mexallon;4660;1
100MN MicroWarpdrive II;Morphite;50;1
100MN MicroWarpdrive II;Nocxium;325;1
100MN MicroWarpdrive II;Plasma Thruster;64;1
100MN MicroWarpdrive II;Pyerite;16050;1
100MN MicroWarpdrive II;R.A.M.- Armor/Hull Tech;1;0.16
100MN MicroWarpdrive II;Tritanium;68050;1
100MN MicroWarpdrive II;Zydrine;64;1
10MN Afterburner I;Isogen;2;1
10MN Afterburner I;Mexallon;3;1
10MN Afterburner I;Pyerite;3129;1
10MN Afterburner I;Tritanium;3436;1
10MN Afterburner II;10MN Afterburner I;1;1
10MN Afterburner II;Antimatter Reactor Unit;5;1
10MN Afterburner II;Ion Thruster;10;1
10MN Afterburner II;Isogen;3;1
10MN Afterburner II;Mexallon;4;1
10MN Afterburner II;Morphite;4;1
10MN Afterburner II;Plasma Thruster;4;1
10MN Afterburner II;Pyerite;3405;1
10MN Afterburner II;R.A.M.- Armor/Hull Tech;1;0.01
10MN Afterburner II;Tritanium;4980;1
10MN Analog Booster Rockets;Isogen;2;1
10MN Analog Booster Rockets;Mexallon;3;1
10MN Analog Booster Rockets;Pyerite;3129;1
10MN Analog Booster Rockets;Sleeper Foundation Block;1;1
10MN Analog Booster Rockets;Sleeper Heat Nullifying Coil;2;1
10MN Analog Booster Rockets;Sleeper Micro Circuits;1;1
10MN Analog Booster Rockets;Sleeper Profound Research Notes;1;1
10MN Analog Booster Rockets;Sleeper Technical Schematics;1;1
10MN Analog Booster Rockets;Sleeper Thermal Regulator;1;1
10MN Analog Booster Rockets;Tritanium;3436;1
10MN Digital Booster Rockets;Isogen;1;1
10MN Digital Booster Rockets;Megacyte;2;1
10MN Digital Booster Rockets;Mexallon;61;1
10MN Digital Booster Rockets;Nocxium;1;1
10MN Digital Booster Rockets;Pyerite;13238;1
10MN Digital Booster Rockets;Sleeper Foundation Block;2;1
10MN Digital Booster Rockets;Sleeper Heat Nullifying Coil;2;1
10MN Digital Booster Rockets;Sleeper Manuscripts;2;1
10MN Digital Booster Rockets;Sleeper Micro Circuits;1;1
10MN Digital Booster Rockets;Sleeper Profound Research Notes;2;1
10MN Digital Booster Rockets;Sleeper Thermal Regulator;1;1
10MN Digital Booster Rockets;Tritanium;15630;1
10MN Digital Booster Rockets;Zydrine;1;1
10MN MicroWarpdrive I;Isogen;1;1
10MN MicroWarpdrive I;Megacyte;2;1
10MN MicroWarpdrive I;Mexallon;61;1
10MN MicroWarpdrive I;Nocxium;1;1
10MN MicroWarpdrive I;Pyerite;13238;1
10MN MicroWarpdrive I;Tritanium;15630;1
10MN MicroWarpdrive I;Zydrine;1;1
10MN MicroWarpdrive II;10MN MicroWarpdrive I;1;1
10MN MicroWarpdrive II;Antimatter Reactor Unit;5;1
10MN MicroWarpdrive II;Ion Thruster;10;1
10MN MicroWarpdrive II;Isogen;2;1
10MN MicroWarpdrive II;Megacyte;3;1
10MN MicroWarpdrive II;Mexallon;80;1
10MN MicroWarpdrive II;Morphite;22;1
10MN MicroWarpdrive II;Nocxium;2;1
10MN MicroWarpdrive II;Plasma Thruster;32;1
