typeName;wasteFactor;maxProductionLimit;techLevel;(No column name)
100mm Reinforced Steel Plates I;10;300;1;NULL
100mm Reinforced Steel Plates II;10;100;2;100mm Reinforced Steel Plates I
100MN Afterburner I;10;300;1;NULL
100MN Afterburner II;10;100;2;100MN Afterburner I
100MN Analog Booster Rockets;10;1000;1;100MN Afterburner I
100MN Digital Booster Rockets;10;1000;1;100MN MicroWarpdrive I
100MN MicroWarpdrive I;10;300;1;NULL
100MN MicroWarpdrive II;10;100;2;100MN MicroWarpdrive I
10MN Afterburner I;10;300;1;NULL
10MN Afterburner II;10;100;2;10MN Afterburner I
10MN Analog Booster Rockets;10;1000;1;10MN Afterburner I
10MN Digital Booster Rockets;10;1000;1;10MN MicroWarpdrive I
10MN MicroWarpdrive I;10;300;1;NULL
10MN MicroWarpdrive II;10;100;2;10MN MicroWarpdrive I
1200mm Artillery Cannon I;10;300;1;NULL
1200mm Artillery Cannon II;10;100;2;1200mm Artillery Cannon I
1200mm Heavy 'Jolt' Artillery I;10;1000;1;1200mm Artillery Cannon I
125mm Gatling AutoCannon I;10;300;1;NULL
125mm Gatling AutoCannon II;10;100;2;125mm Gatling AutoCannon I
125mm Railgun I;10;300;1;NULL
125mm Railgun II;10;100;2;125mm Railgun I
1400mm Howitzer Artillery I;10;300;1;NULL
1400mm Howitzer Artillery II;10;100;2;1400mm Howitzer Artillery I
1400mm 'Jolt' Artillery I;10;1000;1;1400mm Howitzer Artillery I
150mm Light AutoCannon I;10;300;1;NULL
150mm Light AutoCannon II;10;100;2;150mm Light AutoCannon I
150mm 'Musket' Railgun;10;1000;2;150mm Railgun I
150mm Railgun I;10;300;1;NULL
150mm Railgun II;10;100;2;150mm Railgun I
1600mm Reinforced Steel Plates I;10;300;1;NULL
1600mm Reinforced Steel Plates II;10;100;2;1600mm Reinforced Steel Plates I
1MN Afterburner I;10;300;1;NULL
1MN Afterburner II;10;100;2;1MN Afterburner I
1MN Analog Booster Rockets;10;1000;1;1MN Afterburner I
1MN Digital Booster Rockets;10;1000;1;1MN MicroWarpdrive I
1MN MicroWarpdrive I;10;300;1;NULL
