typeName;typeName;quantity;typeName;(No column name)
100mm Reinforced Steel Plates II;Datacore - Molecular Engineering;1;Molecular Engineering;NULL
100mm Reinforced Steel Plates II;Datacore - Nanite Engineering;1;Nanite Engineering;NULL
100mm Reinforced Steel Plates II;Occult Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
100MN Afterburner II;Cryptic Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
100MN Afterburner II;Datacore - Molecular Engineering;3;Molecular Engineering;NULL
100MN Afterburner II;Datacore - Rocket Science;3;Rocket Science;NULL
100MN MicroWarpdrive II;Cryptic Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
100MN MicroWarpdrive II;Datacore - Molecular Engineering;3;Molecular Engineering;NULL
100MN MicroWarpdrive II;Datacore - Rocket Science;3;Rocket Science;NULL
10MN Afterburner II;Cryptic Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
10MN Afterburner II;Datacore - Molecular Engineering;2;Molecular Engineering;NULL
10MN Afterburner II;Datacore - Rocket Science;2;Rocket Science;NULL
10MN MicroWarpdrive II;Cryptic Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
10MN MicroWarpdrive II;Datacore - Molecular Engineering;2;Molecular Engineering;NULL
10MN MicroWarpdrive II;Datacore - Rocket Science;2;Rocket Science;NULL
1200mm Artillery Cannon II;Cryptic Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
1200mm Artillery Cannon II;Datacore - Nuclear Physics;3;Nuclear Physics;NULL
1200mm Artillery Cannon II;Datacore - Mechanical Engineering;3;Mechanical Engineering;NULL
125mm Gatling AutoCannon II;Datacore - Nuclear Physics;1;Nuclear Physics;NULL
125mm Gatling AutoCannon II;Datacore - Mechanical Engineering;1;Mechanical Engineering;NULL
125mm Gatling AutoCannon II;Cryptic Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
125mm Railgun II;Datacore - Electromagnetic Physics;1;Electromagnetic Physics;NULL
125mm Railgun II;Datacore - Mechanical Engineering;1;Mechanical Engineering;NULL
125mm Railgun II;Esoteric Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
1400mm Howitzer Artillery II;Cryptic Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
1400mm Howitzer Artillery II;Datacore - Nuclear Physics;3;Nuclear Physics;NULL
1400mm Howitzer Artillery II;Datacore - Mechanical Engineering;3;Mechanical Engineering;NULL
150mm Light AutoCannon II;Datacore - Nuclear Physics;1;Nuclear Physics;NULL
150mm Light AutoCannon II;Datacore - Mechanical Engineering;1;Mechanical Engineering;NULL
150mm Light AutoCannon II;Cryptic Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
150mm Railgun II;Datacore - Electromagnetic Physics;1;Electromagnetic Physics;NULL
150mm Railgun II;Datacore - Mechanical Engineering;1;Mechanical Engineering;NULL
150mm Railgun II;Esoteric Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
1600mm Reinforced Steel Plates II;Occult Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
1600mm Reinforced Steel Plates II;Datacore - Molecular Engineering;3;Molecular Engineering;NULL
1600mm Reinforced Steel Plates II;Datacore - Nanite Engineering;3;Nanite Engineering;NULL
1MN Afterburner II;Datacore - Molecular Engineering;1;Molecular Engineering;NULL
1MN Afterburner II;Datacore - Rocket Science;1;Rocket Science;NULL
1MN Afterburner II;Cryptic Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
1MN MicroWarpdrive II;Datacore - Molecular Engineering;1;Molecular Engineering;NULL
1MN MicroWarpdrive II;Datacore - Rocket Science;1;Rocket Science;NULL
1MN MicroWarpdrive II;Cryptic Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
200mm AutoCannon II;Datacore - Nuclear Physics;1;Nuclear Physics;NULL
200mm AutoCannon II;Datacore - Mechanical Engineering;1;Mechanical Engineering;NULL
200mm AutoCannon II;Cryptic Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
200mm Railgun II;Esoteric Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
200mm Railgun II;Datacore - Electromagnetic Physics;2;Electromagnetic Physics;NULL
200mm Railgun II;Datacore - Mechanical Engineering;2;Mechanical Engineering;NULL
200mm Reinforced Steel Plates II;Occult Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
200mm Reinforced Steel Plates II;Datacore - Molecular Engineering;2;Molecular Engineering;NULL
200mm Reinforced Steel Plates II;Datacore - Nanite Engineering;2;Nanite Engineering;NULL
220mm Vulcan AutoCannon II;Cryptic Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
220mm Vulcan AutoCannon II;Datacore - Nuclear Physics;2;Nuclear Physics;NULL
220mm Vulcan AutoCannon II;Datacore - Mechanical Engineering;2;Mechanical Engineering;NULL
250mm Light Artillery Cannon II;Datacore - Nuclear Physics;1;Nuclear Physics;NULL
250mm Light Artillery Cannon II;Datacore - Mechanical Engineering;1;Mechanical Engineering;NULL
250mm Light Artillery Cannon II;Cryptic Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
250mm Railgun II;Esoteric Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
250mm Railgun II;Datacore - Electromagnetic Physics;2;Electromagnetic Physics;NULL
250mm Railgun II;Datacore - Mechanical Engineering;2;Mechanical Engineering;NULL
280mm Howitzer Artillery II;Datacore - Nuclear Physics;1;Nuclear Physics;NULL
280mm Howitzer Artillery II;Datacore - Mechanical Engineering;1;Mechanical Engineering;NULL
280mm Howitzer Artillery II;Cryptic Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
350mm Railgun II;Esoteric Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
350mm Railgun II;Datacore - Electromagnetic Physics;3;Electromagnetic Physics;NULL
350mm Railgun II;Datacore - Mechanical Engineering;3;Mechanical Engineering;NULL
400mm Reinforced Steel Plates II;Occult Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
400mm Reinforced Steel Plates II;Datacore - Molecular Engineering;2;Molecular Engineering;NULL
400mm Reinforced Steel Plates II;Datacore - Nanite Engineering;2;Nanite Engineering;NULL
425mm AutoCannon II;Cryptic Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
425mm AutoCannon II;Datacore - Nuclear Physics;2;Nuclear Physics;NULL
425mm AutoCannon II;Datacore - Mechanical Engineering;2;Mechanical Engineering;NULL
425mm Railgun II;Esoteric Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
425mm Railgun II;Datacore - Electromagnetic Physics;3;Electromagnetic Physics;NULL
425mm Railgun II;Datacore - Mechanical Engineering;3;Mechanical Engineering;NULL
50mm Reinforced Steel Plates II;Datacore - Molecular Engineering;1;Molecular Engineering;NULL
50mm Reinforced Steel Plates II;Datacore - Nanite Engineering;1;Nanite Engineering;NULL
50mm Reinforced Steel Plates II;Occult Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
650mm Artillery Cannon II;Cryptic Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
650mm Artillery Cannon II;Datacore - Nuclear Physics;2;Nuclear Physics;NULL
650mm Artillery Cannon II;Datacore - Mechanical Engineering;2;Mechanical Engineering;NULL
720mm Howitzer Artillery II;Cryptic Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
720mm Howitzer Artillery II;Datacore - Nuclear Physics;2;Nuclear Physics;NULL
720mm Howitzer Artillery II;Datacore - Mechanical Engineering;2;Mechanical Engineering;NULL
75mm Gatling Rail II;Datacore - Electromagnetic Physics;1;Electromagnetic Physics;NULL
75mm Gatling Rail II;Datacore - Mechanical Engineering;1;Mechanical Engineering;NULL
75mm Gatling Rail II;Esoteric Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
800mm Reinforced Steel Plates II;Occult Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
800mm Reinforced Steel Plates II;Datacore - Molecular Engineering;3;Molecular Engineering;NULL
800mm Reinforced Steel Plates II;Datacore - Nanite Engineering;3;Nanite Engineering;NULL
800mm Repeating Artillery II;Cryptic Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
800mm Repeating Artillery II;Datacore - Nuclear Physics;3;Nuclear Physics;NULL
800mm Repeating Artillery II;Datacore - Mechanical Engineering;3;Mechanical Engineering;NULL
Absolution;Occult Ship Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Absolution;Datacore - Amarrian Starship Engineering;16;Amarrian Starship Engineering;NULL
Absolution;Datacore - Mechanical Engineering;16;Mechanical Engineering;NULL
Acolyte II;Datacore - Electronic Engineering;1;Electronic Engineering;NULL
Acolyte II;Datacore - Mechanical Engineering;1;Mechanical Engineering;NULL
Acolyte II;Incognito Data Interface;1;Gallente Encryption Methods;Decryptors - Gallente
Adaptive Nano Plating II;Datacore - Molecular Engineering;1;Molecular Engineering;NULL
Adaptive Nano Plating II;Datacore - Nanite Engineering;1;Nanite Engineering;NULL
Adaptive Nano Plating II;Occult Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Analyzer II;Cryptic Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
Analyzer II;Datacore - Electromagnetic Physics;2;Electromagnetic Physics;NULL
Analyzer II;Datacore - Electronic Engineering;2;Electronic Engineering;NULL
Anathema;Occult Ship Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Anathema;Datacore - Amarrian Starship Engineering;2;Amarrian Starship Engineering;NULL
Anathema;Datacore - Mechanical Engineering;2;Mechanical Engineering;NULL
Anshar;Incognito Ship Data Interface;1;Gallente Encryption Methods;Decryptors - Gallente
Anshar;Datacore - Gallentean Starship Engineering;64;Gallentean Starship Engineering;NULL
Anshar;Datacore - Mechanical Engineering;64;Mechanical Engineering;NULL
Arazu;Incognito Ship Data Interface;1;Gallente Encryption Methods;Decryptors - Gallente
Arazu;Datacore - Gallentean Starship Engineering;8;Gallentean Starship Engineering;NULL
Arazu;Datacore - Mechanical Engineering;8;Mechanical Engineering;NULL
Ares;Incognito Ship Data Interface;1;Gallente Encryption Methods;Decryptors - Gallente
Ares;Datacore - Gallentean Starship Engineering;2;Gallentean Starship Engineering;NULL
Ares;Datacore - Mechanical Engineering;2;Mechanical Engineering;NULL
Ark;Occult Ship Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Ark;Datacore - Amarrian Starship Engineering;64;Amarrian Starship Engineering;NULL
Ark;Datacore - Mechanical Engineering;64;Mechanical Engineering;NULL
Arkonor Mining Crystal II;Occult Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Arkonor Mining Crystal II;Datacore - Laser Physics;3;Laser Physics;NULL
Arkonor Mining Crystal II;Datacore - Electronic Engineering;3;Electronic Engineering;NULL
Armor EM Hardener II;Occult Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Armor EM Hardener II;Datacore - Hydromagnetic Physics;2;Hydromagnetic Physics;NULL
Armor EM Hardener II;Datacore - Nanite Engineering;2;Nanite Engineering;NULL
Armor Explosive Hardener II;Occult Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Armor Explosive Hardener II;Datacore - Hydromagnetic Physics;2;Hydromagnetic Physics;NULL
Armor Explosive Hardener II;Datacore - Nanite Engineering;2;Nanite Engineering;NULL
Armor Kinetic Hardener II;Occult Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Armor Kinetic Hardener II;Datacore - Hydromagnetic Physics;2;Hydromagnetic Physics;NULL
Armor Kinetic Hardener II;Datacore - Nanite Engineering;2;Nanite Engineering;NULL
Armor Thermic Hardener II;Occult Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Armor Thermic Hardener II;Datacore - Hydromagnetic Physics;2;Hydromagnetic Physics;NULL
Armor Thermic Hardener II;Datacore - Nanite Engineering;2;Nanite Engineering;NULL
Armored Warfare Link - Damage Control II;Occult Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Armored Warfare Link - Damage Control II;Datacore - Electromagnetic Physics;2;Electromagnetic Physics;NULL
Armored Warfare Link - Damage Control II;Datacore - Electronic Engineering;2;Electronic Engineering;NULL
Armored Warfare Link - Passive Defense II;Occult Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
