typeID;groupID;marketGroupID;typeName
18;458;516;Plagioclase
19;461;517;Spodumain
20;457;523;Kernite
21;454;527;Hedbergite
22;450;512;Arkonor
34;18;18;Tritanium
35;18;18;Pyerite
36;18;18;Mexallon
37;18;18;Isogen
38;18;18;Nocxium
39;18;18;Zydrine
40;18;18;Megacyte
41;280;20;Garbage
42;280;492;Spiced Wine
43;280;492;Antibiotics
44;1034;1335;Enriched Uranium
45;281;492;Frozen Plant Seeds
178;83;113;Carbonized Lead S
179;83;113;Nuclear S
180;83;113;Proton S
181;83;113;Depleted Uranium S
182;83;113;Titanium Sabot S
183;83;113;Fusion S
184;83;113;Phased Plasma S
185;83;113;EMP S
186;83;112;Carbonized Lead M
187;83;112;Nuclear M
188;83;112;Proton M
189;83;112;Depleted Uranium M
190;83;112;Titanium Sabot M
191;83;112;Fusion M
192;83;112;Phased Plasma M
193;83;112;EMP M
194;83;109;Carbonized Lead L
195;83;109;Nuclear L
196;83;109;Proton L
197;83;109;Depleted Uranium L
198;83;109;Titanium Sabot L
199;83;109;Fusion L
200;83;109;Phased Plasma L
201;83;109;EMP L
202;386;921;Mjolnir Cruise Missile
203;386;921;Trauma Cruise Missile
204;386;921;Inferno Cruise Missile
205;386;921;Nova Cruise Missile
206;385;924;Nova Heavy Missile
207;385;924;Mjolnir Heavy Missile
208;385;924;Inferno Heavy Missile
209;385;924;Trauma Heavy Missile
210;384;920;Trauma Light Missile
211;384;920;Inferno Light Missile
212;384;920;Mjolnir Light Missile
213;384;920;Nova Light Missile
215;85;107;Iron Charge S
216;85;107;Tungsten Charge S
217;85;107;Iridium Charge S
218;85;107;Lead Charge S
219;85;107;Thorium Charge S
220;85;107;Uranium Charge S
221;85;107;Plutonium Charge S
222;85;107;Antimatter Charge S
223;85;108;Iron Charge M
224;85;108;Tungsten Charge M
225;85;108;Iridium Charge M
226;85;108;Lead Charge M
227;85;108;Thorium Charge M
228;85;108;Uranium Charge M
229;85;108;Plutonium Charge M
230;85;108;Antimatter Charge M
231;85;106;Iron Charge L
232;85;106;Tungsten Charge L
233;85;106;Iridium Charge L
234;85;106;Lead Charge L
235;85;106;Thorium Charge L
236;85;106;Uranium Charge L
237;85;106;Plutonium Charge L
238;85;106;Antimatter Charge L
239;86;102;Radio S
240;86;102;Microwave S
241;86;102;Infrared S
242;86;102;Standard S
243;86;102;Ultraviolet S
244;86;102;Xray S
245;86;102;Gamma S
246;86;102;Multifrequency S
247;86;103;Radio M
248;86;103;Microwave M
249;86;103;Infrared M
250;86;103;Standard M
251;86;103;Ultraviolet M
252;86;103;Xray M
253;86;103;Gamma M
254;86;103;Multifrequency M
255;86;105;Radio L
256;86;105;Microwave L
257;86;105;Infrared L
258;86;105;Standard L
259;86;105;Ultraviolet L
260;86;105;Xray L
261;86;105;Gamma L
262;86;105;Multifrequency L
263;87;139;Cap Booster 25
264;87;139;Cap Booster 50
265;88;116;Defender I
266;387;922;Trauma Rocket
267;89;923;Trauma Torpedo
269;394;914;Seeker F.O.F. Light Missile I
377;38;605;Small Shield Extender I
380;38;605;Small Shield Extender II
393;39;126;Shield Recharger I
394;39;126;Shield Recharger II
399;40;609;Small Shield Booster I
400;40;609;Small Shield Booster II
