date,hour,price_eur,price,volume,cloud_cover,global_tilted_irradiance,precipitation,temperature_2m,wind_speed_10m
2025-02-09,0,135.0,264.04,3706.0,1.0,0.0,0.0,-5.7,4.2
2025-02-09,1,125.82,246.08,3350.0,1.0,0.0,0.0,-6.0,4.0
2025-02-09,2,121.67,237.97,3152.0,0.0,0.0,0.0,-6.4,3.6
2025-02-09,3,119.3,233.33,3162.0,0.0,0.0,0.0,-5.4,3.6
2025-02-09,4,116.81,228.46,3237.6,33.0,0.0,0.0,-5.7,3.2
2025-02-09,5,117.0,228.83,3379.8,46.0,0.0,0.0,-5.8,3.4
2025-02-09,6,117.0,228.83,3656.5,58.0,0.0,0.0,-5.7,4.0
2025-02-09,7,133.43,260.97,3756.7,59.0,0.0,0.0,-5.4,4.5
2025-02-09,8,136.77,267.5,4481.3,63.0,7.9,0.0,-5.2,5.1
2025-02-09,9,122.01,238.63,4678.3,73.0,126.0,0.0,-4.3,6.2
2025-02-09,10,113.44,221.87,4820.7,41.0,332.7,0.0,-2.9,6.0
2025-02-09,11,107.0,209.27,4774.5,40.0,537.7,0.0,-1.2,5.7
2025-02-09,12,50.0,97.79,4630.2,33.0,703.9,0.0,0.5,5.6
2025-02-09,13,60.0,117.35,4486.9,27.0,841.6,0.0,2.0,5.5
2025-02-09,14,109.9,214.95,4076.3,19.0,864.6,0.0,3.0,6.0
2025-02-09,15,120.4,235.48,3811.2,19.0,738.7,0.0,1.9,8.0
2025-02-09,16,153.18,299.59,4037.0,4.0,559.0,0.0,1.2,8.6
2025-02-09,17,164.47,321.68,4171.5,2.0,337.7,0.0,-0.1,6.5
2025-02-09,18,178.85,349.8,3929.9,1.0,73.4,0.0,-3.7,3.6
2025-02-09,19,178.85,349.8,4074.6,3.0,0.0,0.0,-4.8,3.9
2025-02-09,20,169.46,331.43,4193.9,9.0,0.0,0.0,-5.7,4.4
2025-02-09,21,145.0,283.6,4081.0,5.0,0.0,0.0,-6.3,3.8
2025-02-09,22,143.0,279.68,3809.9,1.0,0.0,0.0,-6.5,3.3
2025-02-09,23,128.9,252.11,3493.4,0.0,0.0,0.0,-6.6,2.2
2025-02-10,0,119.93,234.56,3333.8,0.0,0.0,0.0,-6.8,1.7
2025-02-10,1,114.9,224.72,3011.2,0.0,0.0,0.0,-7.1,1.2
2025-02-10,2,112.2,219.44,3143.1,0.0,0.0,0.0,-7.5,1.0
2025-02-10,3,108.25,211.72,3174.6,0.0,0.0,0.0,-6.9,0.9
2025-02-10,4,107.85,210.94,3315.2,0.0,0.0,0.0,-7.4,0.5
2025-02-10,5,116.88,228.6,3824.0,0.0,0.0,0.0,-7.9,0.2
2025-02-10,6,159.62,312.19,4228.7,2.0,0.0,0.0,-8.1,0.5
2025-02-10,7,178.86,349.82,4384.3,8.0,0.0,0.0,-8.3,0.5
2025-02-10,8,181.36,354.71,4784.4,67.0,20.8,0.0,-8.0,0.5
2025-02-10,9,163.18,319.15,5126.2,78.0,247.6,0.0,-5.1,1.3
2025-02-10,10,141.99,277.71,5106.1,70.0,473.8,0.0,-2.6,1.0
2025-02-10,11,110.37,215.86,4900.5,46.0,704.9,0.0,-0.2,0.9
2025-02-10,12,110.46,216.04,4808.0,52.0,870.9,0.0,2.1,1.1
2025-02-10,13,120.8,236.26,4633.4,51.0,914.8,0.0,3.9,1.8
2025-02-10,14,130.29,254.83,4271.0,53.0,848.1,0.0,5.3,2.6
2025-02-10,15,167.33,327.27,4074.7,34.0,723.6,0.0,5.6,3.8
2025-02-10,16,200.24,391.64,4097.0,4.0,610.0,0.0,5.1,6.4
2025-02-10,17,220.48,431.22,4190.2,0.0,372.8,0.0,2.5,5.6
2025-02-10,18,220.21,430.69,4062.6,0.0,82.5,0.0,-1.9,3.8
2025-02-10,19,203.96,398.91,3752.3,0.0,0.0,0.0,-3.3,3.6
2025-02-10,20,206.43,403.74,4026.6,0.0,0.0,0.0,-4.5,3.8
2025-02-10,21,178.86,349.82,3872.1,0.0,0.0,0.0,-5.1,4.0
2025-02-10,22,170.66,333.78,3943.6,0.0,0.0,0.0,-5.4,4.3
2025-02-10,23,140.0,273.82,3599.3,0.0,0.0,0.0,-5.6,4.7
2025-02-11,0,148.0,289.46,3402.5,0.0,0.0,0.0,-5.5,4.9
2025-02-11,1,133.78,261.65,3221.7,0.0,0.0,0.0,-5.5,5.1
2025-02-11,2,126.12,246.67,3361.1,0.0,0.0,0.0,-5.8,4.5
2025-02-11,3,124.17,242.86,3356.6,0.0,0.0,0.0,-6.0,2.3
2025-02-11,4,134.88,263.8,3500.3,0.0,0.0,0.0,-6.6,1.8
2025-02-11,5,178.85,349.8,3922.0,0.0,0.0,0.0,-7.0,1.4
2025-02-11,6,185.65,363.1,4060.7,0.0,0.0,0.0,-7.3,1.5
2025-02-11,7,243.0,475.27,4487.1,0.0,0.0,0.0,-7.5,1.3
2025-02-11,8,178.85,349.8,4360.2,0.0,21.2,0.0,-7.2,1.1
2025-02-11,9,144.56,282.73,4861.2,0.0,275.0,0.0,-4.2,2.0
2025-02-11,10,115.19,225.29,4289.3,0.0,543.3,0.0,-1.2,2.9
2025-02-11,11,106.57,208.43,4325.8,0.0,759.3,0.0,1.2,4.4
2025-02-11,12,108.51,212.23,4255.2,0.0,902.3,0.0,3.0,4.6
2025-02-11,13,117.91,230.61,3985.1,0.0,961.4,0.0,4.5,4.4
2025-02-11,14,128.14,250.62,3765.9,0.0,933.5,0.0,5.2,5.6
2025-02-11,15,164.66,322.05,3925.3,0.0,815.4,0.0,4.5,7.4
2025-02-11,16,191.99,375.5,3614.4,0.0,625.7,0.0,3.6,8.6
2025-02-11,17,215.79,422.05,3468.4,0.0,373.7,0.0,1.7,5.6
2025-02-11,18,242.33,473.96,3513.6,0.0,84.9,0.0,-2.2,3.4
2025-02-11,19,208.19,407.18,3549.4,0.0,0.0,0.0,-3.5,4.7
2025-02-11,20,183.27,358.44,3248.6,0.0,0.0,0.0,-4.6,5.1
2025-02-11,21,178.85,349.8,3815.3,0.0,0.0,0.0,-5.5,4.4
2025-02-11,22,163.64,320.05,4033.8,0.0,0.0,0.0,-5.7,2.9
2025-02-11,23,133.24,260.59,3687.9,0.0,0.0,0.0,-5.9,3.3
2025-02-12,0,129.39,253.06,3527.2,0.0,0.0,0.0,-6.1,3.6
2025-02-12,1,127.85,250.05,3917.7,0.0,0.0,0.0,-6.1,2.9
2025-02-12,2,126.82,248.04,3661.6,0.0,0.0,0.0,-6.1,2.0
2025-02-12,3,126.59,247.59,3661.6,0.0,0.0,0.0,-6.4,2.3
2025-02-12,4,128.74,251.79,3788.1,0.0,0.0,0.0,-6.9,2.3
2025-02-12,5,137.59,269.1,4100.1,0.0,0.0,0.0,-7.1,1.8
2025-02-12,6,178.85,349.8,4033.0,0.0,0.0,0.0,-7.4,1.7
2025-02-12,7,182.14,356.23,3744.6,0.0,0.0,0.0,-7.6,1.7
