date,hour,price
24-01-01,0,0.2
24-01-01,1,0.02
24-01-01,2,0.08
24-01-01,3,0.02
24-01-01,4,0.02
24-01-01,5,0.02
24-01-01,6,0.08
24-01-01,7,0.02
24-01-01,8,0.02
24-01-01,9,0.08
24-01-01,10,0.12
24-01-01,11,1.06
24-01-01,12,4.38
24-01-01,13,6.34
24-01-01,14,19.26
24-01-01,15,76.71
24-01-01,16,103.91
24-01-01,17,120.03
24-01-01,18,118.66
24-01-01,19,127.13
24-01-01,20,97.81
24-01-01,21,97.81
24-01-01,22,84.1
24-01-01,23,69.53
24-01-02,0,57.46
24-01-02,1,38.41
24-01-02,2,54.08
24-01-02,3,32.04
24-01-02,4,19.26
24-01-02,5,127.17
24-01-02,6,211.78
24-01-02,7,222.67
24-01-02,8,210.1
24-01-02,9,149.33
24-01-02,10,147.86
24-01-02,11,152.3
24-01-02,12,156.99
24-01-02,13,158.95
24-01-02,14,166.3
24-01-02,15,200.59
24-01-02,16,171.82
24-01-02,17,168.28
24-01-02,18,159.38
24-01-02,19,147.02
24-01-02,20,127.15
24-01-02,21,127.15
24-01-02,22,199.44
24-01-02,23,180.74
24-01-03,0,38.02
24-01-03,1,35.52
24-01-03,2,33.76
24-01-03,3,32.92
24-01-03,4,34.89
24-01-03,5,39.18
24-01-03,6,127.15
24-01-03,7,146.92
24-01-03,8,197.56
24-01-03,9,127.13
24-01-03,10,127.15
24-01-03,11,127.13
24-01-03,12,127.13
24-01-03,13,127.15
24-01-03,14,127.15
24-01-03,15,141.27
24-01-03,16,155.78
24-01-03,17,165.95
24-01-03,18,167.5
24-01-03,19,189.83
24-01-03,20,143.23
24-01-03,21,131.84
24-01-03,22,127.13
24-01-03,23,113.67
24-01-04,0,136.93
24-01-04,1,98.69
24-01-04,2,78.23
24-01-04,3,49.83
24-01-04,4,96.6
24-01-04,5,137.1
24-01-04,6,190.91
24-01-04,7,166.28
24-01-04,8,178.9
24-01-04,9,184.24
24-01-04,10,144.4
24-01-04,11,137.1
24-01-04,12,137.1
24-01-04,13,168.12
24-01-04,14,180.15
24-01-04,15,192.88
24-01-04,16,204.4
24-01-04,17,220.36
24-01-04,18,223.9
24-01-04,19,216.02
24-01-04,20,197.44
24-01-04,21,185.61
24-01-04,22,179.76
24-01-04,23,173.33
24-01-05,0,168.36
24-01-05,1,157.46
24-01-05,2,150.62
24-01-05,3,142.7
24-01-05,4,142.36
24-01-05,5,155.68
24-01-05,6,183.52
24-01-05,7,204.54
24-01-05,8,208.86
24-01-05,9,196.87
24-01-05,10,190.73
24-01-05,11,192.71
24-01-05,12,190.05
24-01-05,13,201.16
24-01-05,14,215.69
24-01-05,15,219.39
24-01-05,16,222.67
24-01-05,17,227.01
24-01-05,18,220.29
24-01-05,19,214.73
24-01-05,20,206.63
24-01-05,21,189.85
24-01-05,22,185.65
24-01-05,23,169.77
24-01-06,0,175.99
24-01-06,1,156.86
24-01-06,2,148.9
24-01-06,3,142.8
24-01-06,4,142.8
24-01-06,5,145.89
24-01-06,6,146.88
24-01-06,7,159.19
24-01-06,8,172.9
24-01-06,9,180.39
24-01-06,10,190.3
24-01-06,11,185.22
24-01-06,12,193.94
24-01-06,13,185.18
24-01-06,14,180.86
24-01-06,15,184.34
24-01-06,16,185.22
24-01-06,17,203.97
24-01-06,18,202.68
24-01-06,19,193.63
24-01-06,20,180.21
24-01-06,21,172.11
24-01-06,22,169.32
24-01-06,23,156.21
24-01-07,0,164.45
24-01-07,1,156.11
24-01-07,2,150.13
24-01-07,3,143.68
24-01-07,4,140.55
24-01-07,5,140.98
24-01-07,6,146.49
24-01-07,7,151.95
24-01-07,8,159.97
24-01-07,9,165.97
24-01-07,10,159.46
24-01-07,11,158.44
24-01-07,12,173.4
24-01-07,13,165.87
24-01-07,14,164.95
24-01-07,15,172.13
24-01-07,16,182.71
24-01-07,17,199.04
24-01-07,18,205.07
24-01-07,19,197.99
24-01-07,20,196.56
24-01-07,21,182.5
24-01-07,22,178.31
24-01-07,23,164.02
24-01-08,0,152.67
24-01-08,1,145.44
24-01-08,2,101.1
24-01-08,3,79.33
24-01-08,4,136.91
24-01-08,5,160.57
24-01-08,6,184.43
24-01-08,7,200.2
24-01-08,8,236.87
24-01-08,9,230.46
24-01-08,10,197.56
24-01-08,11,196.07
24-01-08,12,186.74
24-01-08,13,181.72
24-01-08,14,195.58
24-01-08,15,210.96
24-01-08,16,238.61
24-01-08,17,254.45
24-01-08,18,254.24
24-01-08,19,238.63
24-01-08,20,223.32
24-01-08,21,201.04
24-01-08,22,195.49
24-01-08,23,178.94
24-01-09,0,171.19
24-01-09,1,168.55
